,User ID,Idade Cliente,Genero,UF,Categoria Produto,Tempo_Site,Paginas_Visitadas,Valor_Carrinho,Frete,Usou Cupom,Comprou,Status Pedido,Qtd Itens
0,1860.0,18,M,PE,mercado,0,4,300.0,gratis,sim,cancelado,,10
1,,trinta,Masculino, sp ,mercado,999,5,,25.5,não,nao,,
2,2044.0,18,Feminino, sp ,Roup@,999,100,quatrocentos,gratis,,cancelado,,4
3,1121.0,25,, sp ,mercado,0,3,,R$ 30,NAO,0,,2
4,1466.0,30,M,CE,Roup@,2,3,150,gratis,sim,1,,0
5,1330.0,30,f,,Eletronicos,2,5,R$ 400,gratis,não,1,,2
6,1087.0,,,XX,eletronicos,10,6,150,gratis,,1,pago,2
7,1871.0,30,,XX,ELETRONICOS,5,3,300.0,0,sim,sim,pago,
8,1130.0,42,m,XX,Roupas,2,1,0,10,nao,0,,0
9,1769.0,30,F,SP,Roup@,2,0,R$400,10,NAO,sim,pago,0
10,1343.0,55,f,SP,,0,1,quatrocentos,20,SIM,0,pago,
11,1805.0,,F, sp ,Mercado,-5,2,R$400,10,não,sim,PAGO,4
12,1385.0,55,M,XX,eletronicos,999,3,300.0,10,,sim,cancelado,3
13,1955.0,30,m,RJ,casa,10,6,R$ 400,10,NAO,cancelado,,2
14,1276.0, 35 ,  M,PE,Mercado,2,4,50,,,1,,10
15,1459.0,trinta,M,RJ,eletronicos,25,4,quatrocentos,gratis,Sim ,nao,PAGO,10
16,1021.0,42,F,XX,Mercado,999,100,quatrocentos,,nao,0,,1
17,1252.0,,M,XX,Casa,15,6,0,gratis,não,1,pago,3
18,1747.0,25,,PE,Mercado,5,2,0,R$ 30,SIM,nao,,0
19,1856.0,35,Masculino,XX,Roup@,,8,100,0,,nao,cancelado,10
20,1474.0,35,,ce,eletronicos,,3,300,,nao,1,,
21,2082.0,35,m,CE,casa,10,100,300,gratis,NAO,nao,pago,0
22,1510.0,30,  M,PE,mercado,-5,6,200,gratis,nao,cancelado,pendente,4
23,1699.0, 35 ,,XX,Mercado,2,0,R$400,10,NAO,0,pendente,
24,1975.0, 35 ,Feminino,SP,casa,999,1,300,0,,1,,1
25,1189.0,42,  M,SP,eletronicos,999,2,100,0,sim,nao,PAGO,3
26,1957.0,42,F,CE,casa,10,6,50,10,não,nao,cancelado,2
27,1686.0, 35 ,,SP,ELETRONICOS,25,3,R$400,,SIM,1,PAGO,0
28,1957.0,30,Masculino,,ELETRONICOS,15,1,quatrocentos,10,Sim ,nao,,3
29,1562.0,42,  M,,Mercado,-5,6,150,0,sim,1,cancelado,
30,1831.0,30,M,,Mercado,-5,5,,25.5,não,0,,
31,1646.0,,Masculino,CE,Mercado,999,100,200,10,SIM,1,PAGO,1
32,1020.0,18,M,CE,Roupas,25,6,300,10,sim,1,pago,0
33,1840.0,55,,PE,Casa,25,5,200,0,SIM,1,pago,1
34,1166.0,trinta,f, sp ,casa,999,1,300.0,,nao,sim,,2
35,1387.0,,f,,roupas ,25,1,50,25.5,SIM,1,PAGO,3
36,1600.0,42,F,SP,Eletronicos,2,1,50,R$ 30,,0,,4
37,1315.0, 35 ,Masculino,RJ,Mercado,10,8,150,25.5,sim,1,,
38,1013.0,55,M, sp ,Roup@,5,6,R$ 400,20,sim,1,cancelado,2
39,1241.0,55,,PE,ELETRONICOS,25,5,50,25.5,não,0,cancelado,10
40,1776.0,22,Masculino,SP,ELETRONICOS,999,4,0,10,sim,1,pago,3
41,1564.0,,Feminino,XX,mercado,,0,300.0,gratis,,cancelado,PAGO,4
42,1897.0, 35 ,F,PE,Eletronicos,,0,0,0,,cancelado,,4
43,1091.0,trinta,M,,casa,2,5,R$400,R$ 30,nao,1,,10
44,1955.0, 35 ,f,,eletronicos,2,4,300,10,,1,cancelado,2
45,1508.0,42,  M,XX,Eletronicos,2,2,300,R$ 30,não,cancelado,pendente,0
46,1775.0,25,Feminino,,Casa,2,8,,0,SIM,1,,1
47,1034.0,18,M,PE,,,5,0,R$ 30,sim,nao,,2
48,1205.0,30,M,XX,Mercado,2,3,quatrocentos,25.5,não,1,pendente,0
49,2025.0,25,,CE,Roup@,-5,100,300,0,não,1,pendente,10
50,2021.0,18,f,PE,casa,0,100,200,10,Sim ,nao,pago,0
51,1565.0,25,Masculino,SP,casa,,0,200,gratis,não,0,pago,2
52,1702.0,30,  M,,Mercado,,1,200,10,não,1,,1
53,1401.0,30,,ce,Casa,15,3,150,,Sim ,0,pago,4
54,1729.0, 35 ,  M,RJ,Mercado,,2,300.0,20,NAO,nao,pago,2
55,1161.0,25,F,PE,Mercado,0,4,R$400,0,nao,0,pago,1
56,1201.0,42,f, sp ,,25,2,150,10,sim,cancelado,,4
57,1995.0,trinta,M,CE,Eletronicos,,0,50,25.5,,0,pago,
58,1269.0,,,XX,Roup@,-5,1,50,25.5,Sim ,0,pago,
59,1815.0,35,m,,casa,,4,50,,,nao,pendente,
60,1455.0,42,m,XX,mercado,25,5,300.0,R$ 30,não,sim,pendente,3
61,2016.0,30,,XX,Mercado,15,4,150,10,não,1,,2
62,1295.0,trinta,m,,Roupas,10,0,300,R$ 30,sim,1,cancelado,2
63,1719.0,42,,PE,eletronicos,25,2,0,20,nao,cancelado,,10
64,1337.0,55,F,XX,,,100,150,0,,nao,,2
65,1878.0, 35 ,m,,Mercado,10,2,300,20,SIM,1,,10
66,2076.0,trinta,F,ce,Mercado,2,2,50,gratis,Sim ,0,,1
67,1791.0,55,M,SP,casa,5,2,150,,NAO,1,PAGO,0
68,1216.0,42,F,ce,ELETRONICOS,25,0,,R$ 30,sim,sim,,0
69,1763.0,18,,PE,roupas ,10,3,300.0,10,sim,cancelado,,1
70,1187.0,22,,,eletronicos,0,0,R$400,R$ 30,Sim ,0,pago,2
71,1379.0,18,F,ce,ELETRONICOS,999,8,50,20,não,1,pago,2
72,1492.0, 35 ,  M,,Eletronicos,0,4,R$ 400,,não,cancelado,pago,10
73,2064.0,trinta,Masculino,,Roupas,,8,300,gratis,,0,cancelado,2
74,1014.0,trinta,m,RJ,roupas ,0,0,R$ 400,20,,0,,3
75,1064.0, 35 ,, sp ,eletronicos,25,6,50,gratis,NAO,0,pago,10
76,1520.0,55,Feminino, sp ,ELETRONICOS,15,6,,,Sim ,1,PAGO,0
77,1647.0,22,M,PE,Roup@,5,3,0,25.5,sim,sim,pendente,
78,2086.0,42,Masculino,RJ,Roup@,0,5,300.0,25.5,,1,PAGO,3
79,1592.0,,  M,CE,Casa,5,2,R$400,10,Sim ,1,cancelado,2
80,1391.0,30,f,XX,Mercado,25,5,R$400,20,SIM,sim,pago,
81,1418.0,18,,ce,Roupas,2,5,50,25.5,,sim,,0
82,1288.0,18,Masculino,XX,roupas ,10,8,150,R$ 30,sim,0,pendente,
83,1378.0,35,,CE,,25,4,0,,NAO,0,,10
84,1230.0,22,,,eletronicos,-5,6,,0,NAO,1,cancelado,2
85,2017.0,30,,RJ,Roup@,999,100,300.0,,,0,PAGO,10
86,1040.0,18,M,XX,Roupas,-5,4,50,R$ 30,sim,sim,pago,2
87,2051.0,30,F,RJ,roupas ,-5,6,150,25.5,não,sim,cancelado,1
88,1134.0,,m,RJ,Casa,5,100,50,25.5,sim,1,cancelado,0
89,1200.0,42,f,,Roup@,0,1,0,20,sim,0,,2
90,1779.0,trinta,,SP,casa,25,0,200,gratis,SIM,0,pago,2
91,1929.0,30,Feminino,PE,Roup@,,1,300,0,sim,1,,4
92,2056.0,18,M, sp ,mercado,15,4,50,0,nao,0,,
93,2071.0,55,,RJ,casa,-5,3,150,gratis,,1,,
94,1502.0,22,Feminino,XX,Roupas,999,4,300,20,nao,0,pago,0
95,1406.0, 35 ,f,XX,Casa,0,8,100,25.5,Sim ,1,,2
96,1804.0,25,f,ce,ELETRONICOS,10,100,100,gratis,Sim ,1,,
97,1098.0,30,m,RJ,Eletronicos,25,100,100,,,0,cancelado,1
98,1683.0,30,  M,SP,Mercado,2,1,200,,NAO,0,pago,2
99,1725.0,25,m,SP,Mercado,999,1,50,0,não,0,,2
100,1960.0,30,F,PE,Roup@,5,100,0,0,NAO,1,cancelado,
101,1612.0,22,,,eletronicos,-5,4,0,0,SIM,1,pendente,
102,1642.0,30,f,,casa,,3,200,,sim,0,pago,2
103,2028.0,,,ce,mercado,2,100,200,,,1,,0
104,1502.0,,M, sp ,Roup@,15,5,100,,NAO,1,,
105,1766.0,,Masculino,,Casa,-5,6,R$400,25.5,sim,0,PAGO,1
106,1397.0, 35 ,,CE,Eletronicos,,1,200,25.5,NAO,0,,2
107,1870.0,22,M,ce,ELETRONICOS,5,1,quatrocentos,10,sim,0,,
108,1794.0,25,f,PE,Eletronicos,5,8,100,R$ 30,NAO,nao,cancelado,4
109,1392.0,,Feminino,PE,mercado,0,0,R$400,gratis,nao,0,,
110,1206.0,,,SP,Eletronicos,10,0,0,25.5,nao,0,,
111,2038.0,30,m,CE,,15,8,R$400,10,,0,cancelado,0
